"id","concepto"
"182","Canbio de aceite y filtros "
"183","Compra de combustible "
"184","Peaje "
"185","Peaje "
"189","Peaje "
"190","Peaje "
"191","Chupos"
"192","Chupos "
"193","Unión "
"194","Chupos"
"195","Agujas"
"196","Control de plagas"
"197","Ingreso caja; abono, podología, solla, inseminación yeguas"
"198","Bascula, transporte pintada y concentrado"
"199","Aporte Alejandro Patiño- Bancolombia"
"200","Nomina trabajadores "
"201","Aporte Alejandro Patiño- Bancolombia"
"202","Pago vigilancia "
"203","Compra productos de aseo"
"204","Pago vacunas aftosa, rayovacuna y brucelosis."
"205","Gasolina guadañas y motorierra."
"206","Compra careta con malla guadaña y arriero 2.5"
"207","Compra 1 galón de varsol"
"208","Compra bujía guadaña"
"209","Compra cuchilla guadaña y miel "
"210","Compra termómetro digital "
"211","Compra gasolina guadaña y motosierra"
"212","Compra 1/4 aceite mobil para guadaña"
"213","Compra 1 rollo vinipel"
"214","Compra bujía guadaña"
"215","Compra suero, hematofos y roundup"
"216","Compra creolina, yodo y guantes cirugía."
"217","Compra accesorios pvc"
"218","Transporte Novillas La Pintada- Pereira"
"219","Transporte concentrado vacas."
"220","Para pago transporte Yeguas San Esteban - Viterbo"
"221","Transporte concentrado el topacio y feria"
"222","Transporte concentrado viterbo"
"224","ACPM"
"225","ACPM"
"226","Atomizador"
"227","Cobijas "
"228","Extensión electrodo   aerosol"
"229","Cuchillos "
"230","Alcohol"
"231","Concentrado terneras sal concentrado muleta"
"232","Almuerzos"
"233","ACPM"
"234","Agua en botellas"
"235","Cojedor de aguacate "
"236","Caja Inicial"
"237","Peaje "
"238","Peaje"
"239","Peajes"
"240","Productos pvc "
"241","Productos varios pvc
Aceite llave de paso "
"242","ACPM"
"243","Soldadura de enciladora "
"244","Transporte de maiz"
"245","Transporte de maiz"
"246","Transporte de maiz"
"247","Bolsas para empacar carne"
"248","Calentar de agua marcado "
"249","Pesoneras"
"250","Chupos para terneros"
"251","Gasolina "
"252","ACPM "
"253","ACPM"
"254","Concentrado terneras "
"255","Miel"
"256","Liquido frenos grasa rodamientos
Bandas frenos"
"257","Roamiento"
"258","Clavos para herrar"
"259","Recoletor de frutas y barios"
"260","Valvula tanque soldadura pvc"
"261","Factura energía "
"262","Factura  energía "
"263","Factura energía "
"264","Factura energía "
"265","Peajes"
"266","Peajes"
"267","Energía "
"268","Polisombra"
"269","Fertilizante tara culto de naranja y aguacate "
"270","Vacuna contra la aftosa"
"271","Vacuna brucela RB51"
"272","Liquidacion"
"273","Liquidación "
"274","Liquidación "
"275","Liquidación "
"276","Nomina "
"277","Nomina "
"278","Nomina "
"279","Factura de agua"
"280","Herrada de caballos 🏇"
"281","Auxiliar de camareria 12 hrs el 22 de julio "
"282","Se abona 20.000 para creación de anuncios con información de precaución para jacuzzis "
"283","Se hace arreglo de sensor en jacuzzi Hab. 209, el cual no permitía que llenara completamente y había filtro de agua "
"284","Compra de pétalos para decoración contratada para el 23 de julio "
"285","Compra de bombas y serpentinas para decoración "
"286","Transporte de bulsas de silo "
"287","Transporte de bolsas de silo"
"288","Viáticos para resonancia"
"289","ACPM PARA MAQUINA ENSILADORA"
"290","Concentrado cerdos"
"291","Peaje "
"292","ACPM CAMIONETA"
"293","Peaje"
"294","Peajes "
"295","Vene para las ormigas"
"296","Compra mixiland y tripen"
"300",""
"301","Pago impuestos camioneta rodeo OJG-320"
"302","Invitacion comida Dr Rene Perez (mastitis)"
"303","Impuesto camioneta Hilux HHT941 50%"
"304","Aporte Sebastián Acosta- Bancolombia"
"305","Extensiones estacas camioneta Nissan EPB- 503"
"306","Pago mensualidad agua"
"307","Aporte Esteban- efectivo"
"308","Pesebreras y curaciones cortada yegua colorada"
"309","Guías movilización caballos cabalgata Viterbo"
"310","Se realiza compra de una cinta para uso decoración "
"311","Pago de comisión taxis "
"312","Compra de recibos de caja "
"313","Pago de auxiliar de caja "
"314","Pago de acarreo de pedido bar "
"315","Pago de excedente para la creación de anuncios precaución de jacuzzis, se envía corrección "
"316","compra de eucalipto"
"317",""
"318",""
"319",""
"320",""
"321",""
"322","NOVORMON X 5000"
"323","PAPEL SECADO UBRES"
"324","BEBIDAS - COMESTIBLES EMPLEADOS"
"325","pago de comisión a taxis "
"326","pago de comisión a taxis"
"327","COMPRA DE ROLLOS DE PAPEL PARA IMPRESORA "
"328","CAMBIO DE SENCILLO"
"329","pago de auxiliar de caja dia 30 de julio"
"330","LAMINACION DE ANUNCIOS PARA HABITACION RESPECTO AL CUIDADO DE COLCHON Y ENCERES"
"331","pago de auxiliar camareria el dia "
"332","se genera compra de pintura para adecuación de canecas y gafas de protección, requerimiento sanidad"
"333","pago de auxiliar de caja 31 jul"
"334","comisión taxi"
"335","Aporte Alejandro Patiño- Efectivo 01-07-23"
"336","NOMINA TRABAJADORES "
"337","APORTE PATOJO- EFECTIVO"
"338","COMPRA PROVETAS PLASTICAS- CANDADOS"
"339","VENTA CAFE 2 13/07/23"
"341","VACUNACION AFTOSA Y RB 51"
"342","SUELDO EDISON MURCIA"
"343","ANTICIPO PUERTAS BAÑO Y PELADORA"
"344","REPUESTOS MANTENIMIENTO DAHIATSU"
"345","DESAYUNOS VISITA AGRONOMO "
"346","MANO DE OBRA MANTENIMIENTO DAHIATSU 14/07/23"
"347","APORTE ALEJANDRO BANCOLOMBIA 15/07/23"
"348","NOMINA TRABAJADORES"
"349","NOMINA TRABAJADORES 31/06/23"
"350","NOMINA TRABAJADORES 31/07/23"
"351","NOMINA TRABAJADORES 07/07/23"
"352",""
"353","NOMINA TRABAJADORES DEL 10 AL 15 JULIO "
"354","NOMINA TRABAJADORES 10 AL 15 JULIO "
"355","NOMINA TRABAJADORES DEL 17 AL 22 JULIO"
"356","NOMINA TRABAJADORES DEL 17 AL 22 JULIO "
"357","NOMINA TRABAJADORES DEL 24 AL 29 JULIO "
"358","NOMINA TRABAJADORES DEL 24 AL 29 JULIO "
"359","APORTE PATOJO 25/07/23"
"360","COMPRA 8 TONELADAS CAL DOLOMITA"
"361","TRANSPORTE CONCENTRADO VACAS "
"362","COMPRA FERTILIZANTES AGUACATERA"
"363","CERTIFICADO USOS DE SUELO"
"364","TRANSPORTE DIANA CRECENTO FINCA "
"365","COMPRA DE BROCA DE CONCRETO "
"366","MEDICAMENTOS CORTADA JOSE ABREU "
"367","MEDICINA PARA BOTIQUIN "
"368","HERRADA MULA "
"369","REVISION FRENOS DAHIATSU "
"370","CURACION CORTADA JOSE ABREU "
"371","TRANSPORTE FERTILIZANTE"
"372","APORTE PATOJO EFECTIVO 25/07/23"
"373","COMPRA 30 BULTOS KAFE CALDAS "
"374","VENTA CAFE 1"
"375","ARREGLO CULATA Y ASIENTO DE VALVULAS DAHIATSU"
"376","ARREGLO MUELLES DAHIATSU "
"377","NEUMATICO Y MONTADA DE LLANTA XTZ 250 CDO85F "
"378","VIATICOS ELIECER BANDERA CITAS HERNIA MANIZALES "
"379","SOLDADURA MUELLE DAHIATSU"
"380","ARREGLO CACHO DAHIATSU "
"381","ARREGLO MUELLES Y CORTADA DE HOJAS "
"382","TRANSPORTE HENO CASCARILLA Y VARIOS "
"383","COMPRA 4 BULTOS DE ARENA "
"384","TORTA Y GASEOSA CUMPLEAÑOS ROGELIO Y CESAR AUGUSTO VASQUEZ "
"385","APORTE PATOJO EFECTIVO 22/07/23"
"386","CANCELACION PUERTAS PELADORA Y BAÑO"
"387","ELEMENTOS FUMIGACION "
"388","CONTRATO TUMBADA DE CAFE "
"389","COMPRA JABONERAS, HIPOCLORITO, SPRAY "
"390","COMPRA BOMBAS CUMPLEAÑOS FINCA"
"391","ALMUERZOS VISITA AGRONOMO "
"392","COMPRA DE 5 TARROS DE AGUA X 20 LITROS"
"393","COMPRA PASADOR CENTRAL DAHIATSU "
"394","COMPRA 1 METRO GRAVILLA "
"395","MANO OBRA ARREGLO CULATA DAHIATSU "
"396","TRANSPORTE ALMUERZOS"
"397","ARREGLO BARBECHOS PUNTOS DE MEZCLA "
"398","APORTE PATOJO 16/07/23"
"399","NOMINA TRABAJADORES DEL 16 JULIO "
"400","NOMINA TRABAJADORES 16 JULIO "
"401","TRANSPORTE TRABAJADORES Y VARIOS "
"402","PAGO CONTRATISTAS DRENAJES Y AHOYADO "
"403","SUELDO CARLOS JOSE VELASQUEZ "
"404","APORTE ESTEBAN BANCOLOMBIA "
"405","TRANSPORTE VACAS GALICIA PEREIRA"
"406","APORTE ESTEBAN BANCOLOMBIA "
"407","COMPRA FERTILIZANTE HIDROCOMPLEX PATENKALI"
"408","COMPRA CACHO RUEDA DAHIATSU "
"409","APORTE NARCES EFECTIVO 26/07/23 "
"410","HOTEL VANESA NOLFA Y DIANA "
"411","VIATICOS DIANA 26 JULIO "
"412","ALMUERZO NOLFA "
"413","COMPRA MEDICAMENTOS "
"414","COMPRA DE HENO Y FORTIN 200"
"415","COMPRA BIOTRAMPA "
"416","VAC. VERASHIELD / CINTA ELECTRA AZUL / MICROMIN / LACTIGAN"
"417","VACOL POMADA X 390GR"
"418","NITROXTEND / FLUMEG / CALFOSVIT / JERINGAS / AGUJAS / PEZOSAN / KENOGAN / OCEANBLU"
"419","GASOLINA CORRIENTE"
